id,day,slphrs,slpwell,weath,lteq,pss,se,ssgs_shame,ssgs_guilt,swls,pc,enthusiastic,calm,nervous,sluggish,happy,peaceful,embarrassed,sad,alert,satisfied,upset,bored,proud,relaxed,stress,depressed,excited,content,tense,disappointed,ashamed,relieved,angry,pos_activ,pos_deact,neg_activ,neg_deact,pfi_auth,pfi_hubr,evalday,posaff,negaff,affbalance,temp,hum,wind,bar,prec
247,5,7,2,2,21,2,3,1.4,1,3,3.666666667,3,3,3,3,3,3,1,1,3,3,2,1,1,3,3,1,3,3,4,3,1,4,1,2.6,3,2.6,1.8,3.428571429,3,0,2.8,2.2,0.6,32,0.35,8,30.43,0
247,6,7,2,2,30,3,4,1,1,5.8,5.5,5,5,2,2,5,5,2,2,5,5,2,2,5,5,4,1,5,5,2,1,1,3,1,5,5,2.4,1.6,3.857142857,3,1,5,2,3,42,0.24,3,30.35,0
247,7,7,2,2,21,3,3,1,1,4.4,5.333333333,5,5,2,2,5,5,2,2,3,5,2,2,4,5,5,2,5,5,5,2,2,3,2,4.4,5,3.2,2,3,2.857142857,0,4.7,2.6,2.1,39,0.8,8,30.07,0.29
248,0,6,1,4,20,3,3,1.2,1.4,4.2,6.333333333,5,5,2,1,7,5,1,2,4,6,2,1,5,5,3,1,1,6,3,1,1,3,2,4.4,5.4,2.2,1.2,3.142857143,1,1,4.9,1.7,3.2,48,0.58,7,30,0.01
248,1,10,3,3,9,3.25,3,1,1.4,4.2,6.333333333,2,3,5,5,3,2,1,2,4,2,4,1,1,2,5,6,1,1,6,1,1,4,2,2.2,2,4.2,3,1.285714286,1,1,2.1,3.6,-1.5,35,0.48,6,30.2,0
248,2,11,3,2,6,2,3,1,1.2,2.8,5.5,5,4,3,1,4,3,1,1,1,1,2,1,1,4,4,2,2,2,3,2,1,1,1,2.6,2.8,2.6,1.4,1.571428571,1,1,2.7,2,0.7,34,0.42,7,30.41,0
248,3,10,3,2,6,2.75,2,1,1.4,2.4,6.166666667,3,3,6,2,3,2,1,2,3,3,2,1,1,1,6,1,1,2,4,3,2,1,1,2.2,2.2,3.8,1.8,1.428571429,1,1,2.2,2.8,-0.6,42,0.46,5,30.4,0
248,4,5,1,1,6,2.75,2,1,2.8,1.2,6.166666667,1,1,6,1,2,1,1,2,3,2,3,2,1,1,5,1,1,1,5,4,2,2,1,1.6,1.2,4,2,1.428571429,1,0,1.4,3,-1.6,35,0.36,10,30.35,0
248,5,9,3,1,3,2.75,3,1,1.4,1.4,5.5,1,2,2,2,3,2,1,1,1,2,1,1,1,3,3,1,1,2,3,1,2,1,1,1.4,2.2,2,1.2,1.285714286,1,1,1.8,1.6,0.2,32,0.35,8,30.43,0
248,6,8,3,2,11,3.25,3,1.2,1.2,2.8,5.666666667,2,3,5,3,3,2,1,1,2,3,1,1,1,3,4,3,1,1,3,3,1,2,2,1.8,2.4,2.8,2.2,1.714285714,1,1,2.1,2.5,-0.4,42,0.24,3,30.35,0
